episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind
256,12600,0.050000000000000044,6.14845910031708,109,0,20,0.0,3.3494395903779665e-30,,100,linear_q
257,12601,0.050000000000000044,5.852751152107466,112,0,20,0.0,1.8840597695876063e-30,,100,linear_q
258,12602,0.050000000000000044,6.894966945457517,121,0,20,0.0,2.093399743986229e-31,,100,linear_q
259,12603,0.050000000000000044,7.150944665249794,111,0,20,0.0,8.373598975944916e-31,,100,linear_q
260,12604,0.050000000000000044,5.552535076930165,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
261,12605,0.050000000000000044,6.381225349018947,123,0,20,0.0,1.8840597695876063e-30,,100,linear_q
262,12606,0.050000000000000044,5.990685281563149,113,0,20,0.0,0.0,,100,linear_q
263,12607,0.050000000000000044,5.231285228991326,120,0,20,0.0,2.093399743986229e-31,,100,linear_q
264,12608,0.050000000000000044,5.045860701224097,131,0,20,0.0,3.3494395903779665e-30,,100,linear_q
265,12609,0.050000000000000044,7.997544359972877,111,0,20,0.0,3.3494395903779665e-30,,100,linear_q
266,12610,0.050000000000000044,3.3126856282119173,120,0,20,0.0,2.093399743986229e-31,,100,linear_q
267,12611,0.050000000000000044,6.381756714131322,122,0,20,0.0,1.8840597695876063e-30,,100,linear_q
268,12612,0.050000000000000044,6.335218718469455,121,0,20,0.0,0.0,,100,linear_q
269,12613,0.050000000000000044,6.255818426073187,120,0,20,0.0,3.3494395903779665e-30,,100,linear_q
270,12614,0.050000000000000044,4.769590952268147,125,0,20,0.0,1.8840597695876063e-30,,100,linear_q
271,12615,0.050000000000000044,7.240173490742877,115,0,20,0.0,8.373598975944916e-31,,100,linear_q
272,12616,0.050000000000000044,5.377514836391606,117,0,20,0.0,1.8840597695876063e-30,,100,linear_q
273,12617,0.050000000000000044,6.746833810339333,112,0,20,0.0,8.373598975944916e-31,,100,linear_q
274,12618,0.050000000000000044,3.789400093715657,107,0,20,0.0,0.0,,100,linear_q
275,12619,0.050000000000000044,6.367215622987089,122,0,20,0.0,8.373598975944916e-31,,100,linear_q
276,12620,0.050000000000000044,8.042004958404945,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
277,12621,0.050000000000000044,4.59797537331102,112,0,20,0.0,0.0,,100,linear_q
278,12622,0.050000000000000044,7.937445758456811,116,0,20,0.0,3.3494395903779665e-30,,100,linear_q
279,12623,0.050000000000000044,4.433636183751882,115,0,20,0.0,1.8840597695876063e-30,,100,linear_q
280,12624,0.050000000000000044,6.782385806624416,111,0,20,0.0,3.3494395903779665e-30,,100,linear_q
281,12625,0.050000000000000044,7.596713326723355,106,0,20,0.0,8.373598975944916e-31,,100,linear_q
282,12626,0.050000000000000044,5.310741077295181,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
283,12627,0.050000000000000044,6.262383345698185,113,0,20,0.0,8.373598975944916e-31,,100,linear_q
284,12628,0.050000000000000044,5.858325894575107,118,0,20,0.0,2.093399743986229e-31,,100,linear_q
285,12629,0.050000000000000044,6.950763929830492,104,0,20,0.0,0.0,,100,linear_q
286,12630,0.050000000000000044,4.884188334315344,120,0,20,0.0,2.093399743986229e-31,,100,linear_q
