scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_chosen_strategy,initial_batch_size,model_score_batch_size,model_score,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,uncertainty_batch_size
h2_0.40_budget_200_parents_20,oracle_switching,2,1,1000,200,0.2,1,200,200,0.4701074412692377,20,-0.13314627914244165,0.9430240904123077,1.898824867156413,2.031971146298855,1.7842053891435368,0.46278285776068356,1.9173516682859784,0.4344017269904725,0.5259961129922885,31002,0.4,200,20,8,active_learning_pev,50.0,,,True,0.32565461758736874,0.4701074412692377,150.0
h2_0.40_budget_200_parents_20,oracle_switching,2,2,1000,200,0.2,1,200,200,0.5625047224385066,20,1.784205389143537,0.46278285776068356,2.7007023208443743,0.9164969317008373,2.780060316126991,0.40078867153902337,0.995854926983454,,,31002,0.4,200,20,8,diversity_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,2,3,1000,200,0.2,1,200,200,0.6181198604236123,20,2.780060316126991,0.40078867153902337,3.8884001975865576,1.1083398814595666,3.875349295718689,0.27927281967308787,1.095288979591698,,,31002,0.4,200,20,8,fixed_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,2,4,1000,200,0.2,1,200,200,0.6006881265953848,20,3.875349295718689,0.27927281967308787,4.7564341277479,0.8810848320292108,4.76844131802117,0.1509726264131835,0.8930920223024814,,,31002,0.4,200,20,8,fixed_sampling,,,,,,,
h2_0.40_budget_200_parents_20,oracle_switching,2,5,1000,200,0.2,1,200,200,0.5569185910115382,20,4.76844131802117,0.15097262641318349,0.5857429827561222,-4.182698335265048,5.353007654243544,0.07313695857456941,0.5845663362223732,0.10503364499891177,0.19641526200575754,31002,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.23543037024139601,0.5569185910115382,
h2_0.40_budget_200_parents_20,oracle_switching,2,6,1000,200,0.2,1,200,200,0.2798510104936362,20,5.353007654243544,0.07313695857456941,0.24855569650677295,-5.104451957736771,5.596557537220766,0.053014499013555864,0.2435498829772227,0.07396464599878527,0.1610258540022187,31002,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.12764580646109644,0.2798510104936362,
h2_0.40_budget_200_parents_20,oracle_switching,2,7,1000,200,0.2,1,200,200,0.37953103473989797,20,5.596557537220766,0.053014499013555864,0.2315142365217214,-5.365043300699045,5.831984744546324,0.02867382859297439,0.2354272073255581,0.26168239398975857,0.3536557829938829,31002,0.4,200,20,8,active_learning_pev,50.0,,,True,0.17061602937714293,0.37953103473989797,150.0
h2_0.40_budget_200_parents_20,oracle_switching,2,8,1000,200,0.2,1,200,200,0.23709748285734408,20,5.831984744546324,0.02867382859297439,0.11179009984284112,-5.720194644703484,5.943765406800514,0.007040559811318788,0.1117806622541897,0.04844137898180634,0.1376081759808585,31002,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.15264677401917157,0.23709748285734408,
h2_0.40_budget_200_parents_20,oracle_switching,3,1,1000,200,0.2,1,200,200,0.4802095660957204,20,-0.13314627914244165,0.9430240904123077,1.9163501442017403,2.049496423344182,1.7814590851596932,0.4047670361575091,1.9146053643021348,0.4740668649901636,0.5728832129971124,31003,0.4,200,20,8,active_learning_pev,50.0,,,True,0.3093737373643339,0.4802095660957204,150.0
h2_0.40_budget_200_parents_20,oracle_switching,3,2,1000,200,0.2,1,200,200,0.46591264445398306,20,1.7814590851596932,0.4047670361575091,0.7411969381606118,-1.0402621469990814,2.530670613316836,0.45707252168462376,0.749211528157143,0.23910369302029721,0.31284206398413517,31003,0.4,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.25135623737137214,0.46591264445398306,
