scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_population_size,scenario_diversity_loss,scenario_number_of_parents,scenario_number_of_crosses,scenario_dh_per_f1,scenario_number_of_generations,switching_chosen_strategy,switching_policy,chosen_strategy_score,best_fixed_continuation,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,1,500,75,0.15,1,75,75,0.2821856897223602,20,-0.1342414077844221,1.0181977430476035,0.33037613171971036,0.4646175395041324,0.3132860986774632,0.7952220896251512,0.4475275064618853,,,30006,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.4173772774973902,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,2,500,75,0.15,1,75,75,0.17395918114936562,20,0.3132860986774632,0.7952220896251512,0.6945070773905813,0.38122097871311805,1.0106748105673162,0.3564086486994095,0.697388711889853,0.1584975509904325,0.22173253100481816,30006,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.6837614136070893,active_learning_pev,50.0,,False,0.09845775879324863,0.17395918114936562,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,3,500,75,0.15,1,75,75,0.0894638479795866,20,1.0106748105673162,0.3564086486994095,0.2404857587139023,-0.7701890518534139,1.318458936134316,0.3184914726222545,0.30778412556699974,0.10085083398735151,0.1546657799917739,30006,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.27960984275901546,active_learning_pev,50.0,,False,0.004165188285276522,0.0894638479795866,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,4,500,75,0.15,1,75,75,-0.0003021767278149339,20,1.318458936134316,0.3184914726222545,1.6791756079259152,0.3607166717915993,1.6563082387682748,0.2339994064470985,0.33784930263395885,,,30006,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.350553187745645,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,5,500,75,0.15,1,75,75,0.04287855061152972,20,1.656308238768275,0.2339994064470985,0.1284979665267527,-1.5278102722415223,1.7596692028895058,0.3226306943684109,0.10336096412123075,0.06582936699851416,0.13021067299996503,30006,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.12250310917349712,active_learning_pev,50.0,,False,-0.0906714326102632,0.04287855061152972,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,6,500,75,0.15,1,75,75,0.24127949521489134,20,1.7596692028895058,0.32263069436841096,2.03888412987705,0.27921492698754413,2.0084353147771608,0.17280773126516882,0.24876611188765496,,,30006,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.10049751195484938,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,7,500,75,0.15,1,75,75,0.2195174597316478,20,2.0084353147771608,0.17280773126516882,2.0712617357956606,0.06282642101849989,2.0885563081518272,0.09881766980257589,0.0801209933746665,,,30006,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.31291366309980234,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,6,8,500,75,0.15,1,75,75,0.34682449962587864,20,2.0885563081518277,0.09881766980257589,0.4643275895115925,-1.6242287186402353,2.543730254160533,0.05720069069086275,0.4551739460087054,0.1191999790025875,0.17461631598416716,30006,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.44777670758284815,active_learning_pev,50.0,25.0,True,0.12593696601559995,0.34682449962587864,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,7,1,500,75,0.15,1,75,75,0.11368338365153738,20,-0.13346250577962326,0.937775281438865,0.8034311918756055,0.9368936976552288,0.6167813989225313,1.3774805825761083,0.7502439047021545,0.2808558359974995,0.332887518015923,30007,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.7821223881592084,active_learning_pev,50.0,25.0,True,0.018508840796031805,0.11368338365153738,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,7,2,500,75,0.15,1,75,75,0.6540469601500222,20,0.6167813989225313,1.3774805825761083,1.4421828323190056,0.8254014333964743,2.025163442484255,0.6830263920250575,1.4083820435617238,0.14222356901154853,0.1892334689910058,30007,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,1.390895277106016,active_learning_pev,50.0,,False,0.5552595699866685,0.6540469601500222,25.0,predicted_gebv
