scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_trial_strategy,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.70_budget_200_parents_20,active_learning_pev,1,5,1000,200,0.2,1,200,200,0.5407410727973095,20,5.176820838211308,0.17270959291392354,0.6531694672838724,-4.5236513709274355,5.862535498529722,0.09291001009542847,0.6857146603184141,0.36019774500164203,0.4468917610065546,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.332525534086223,0.5407410727973095,,
h2_0.70_budget_200_parents_20,highest_gebv,1,5,1000,200,0.2,1,200,200,0.5459993090148727,20,5.176820838211308,0.17270959291392354,0.5735378614535088,-4.603282976757799,5.767141481345089,0.10480030260426053,0.5903206431337811,0.17319846100872383,0.25392495800042525,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.332525534086223,0.5459993090148727,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,6,1000,200,0.2,1,200,200,0.5151019939224154,20,5.846696296052682,0.10046499942863148,6.097102246251149,0.25040595019846723,6.098452023031759,0.03977213568235491,0.2517557269790771,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,6,1000,200,0.2,1,200,200,0.5356335767941002,20,5.846696296052682,0.10046499942863148,6.1098665076301835,0.26317021157750187,6.1161975048571255,0.021889693219437095,0.26950120880444395,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,6,1000,200,0.2,1,200,200,0.5555223056928269,20,5.846696296052682,0.10046499942863148,6.099532916648122,0.2528366205954402,6.098506505502675,0.02458441384933027,0.2518102094499932,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,active_learning_pev,1,6,1000,200,0.2,1,200,200,0.4812331348736913,20,5.8466962960526825,0.10046499942863148,0.14074085680725273,-5.70595543924543,5.988883316096971,0.050461748782513534,0.14218702004428874,0.33681636198889464,0.433070007013157,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.35894860995867556,0.4812331348736913,,
h2_0.70_budget_200_parents_20,highest_gebv,1,6,1000,200,0.2,1,200,200,0.5134348747351578,20,5.8466962960526825,0.10046499942863148,0.33342768101688103,-5.513268615035802,6.173416921758855,0.026064563699400627,0.3267206257061721,0.14035396798863076,0.23254981701029465,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.35894860995867556,0.5134348747351578,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,7,1000,200,0.2,1,200,200,0.3869877745187655,20,6.166808594951572,0.02538754207188742,6.291240813224668,0.12443221827309614,6.28238242961539,0.01133581804649919,0.11557383466381754,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,7,1000,200,0.2,1,200,200,0.4786728869325352,20,6.166808594951572,0.02538754207188742,6.323699946282541,0.15689135133096865,6.326543009171183,0.017764522077708005,0.15973441421961088,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,7,1000,200,0.2,1,200,200,0.6310772140835423,20,6.166808594951572,0.02538754207188742,6.366641108778855,0.19983251382728273,6.354194359524559,0.01586691467455843,0.18738576457298706,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
