strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,initial_model_accuracy,final_model_accuracy
random_sampling,2,2,1000,200,0.2,1,200,200,0.6032508682226652,20,1.2031327762889776,0.7095141365460196,2.5257287440251965,1.322595967736219,2.556917557794074,0.22880186533631294,1.3537847815050963,0.0001578659976075869,0.08899919800023781,400,1002,1003,,,,
random_sampling,2,3,1000,200,0.2,1,200,200,0.33968293363416713,20,2.556917557794074,0.22880186533631294,3.1165263438173403,0.5596087860232664,3.129548893331062,0.25627598591714423,0.5726313355369879,0.00015762399925733916,0.05879838199689402,600,1002,1004,,,,
random_sampling,2,4,1000,200,0.2,1,200,200,0.6631250702648065,20,3.129548893331062,0.25627598591714423,4.013676451565764,0.8841275582347019,4.025449986296292,0.09468999031301881,0.89590109296523,0.00015117000293685123,0.050456136999855516,800,1002,1005,,,,
random_sampling,2,5,1000,200,0.2,1,200,200,0.27922421296958005,20,4.025449986296292,0.09468999031301881,4.160706603881675,0.13525661758538288,4.167631965199247,0.03259887272426302,0.14218197890295503,0.0001661689966567792,0.050146976001997245,1000,1002,1006,,,,
active_learning_pev,3,1,1000,200,0.2,1,200,200,0.477608882022292,20,-0.13314627914244165,0.9430240904123077,1.7794613801397219,1.9126076592821635,1.6082235514790932,0.7602903076692467,1.7413698306215348,0.6407157180001377,0.7535490839982231,200,1003,1003,50.0,150.0,0.37262510314566527,0.477608882022292
active_learning_pev,3,2,1000,200,0.2,1,200,200,0.6811658522739097,20,1.6082235514790932,0.7602903076692467,1.0345731699169411,-0.5736503815621521,2.6737225072730824,0.3652335283200213,1.0654989557939891,0.43871664099788177,0.5367556130004232,400,1003,1004,50.0,150.0,0.48805972247366447,0.6811658522739097
active_learning_pev,3,3,1000,200,0.2,1,200,200,0.15810626137582123,20,2.6737225072730824,0.3652335283200213,0.5186747508194303,-2.1550477564536523,3.2245977763005196,0.31038941951636073,0.5508752690274372,0.3796255849993031,0.4669939199993678,600,1003,1005,50.0,150.0,0.3138821130954702,0.15810626137582123
active_learning_pev,3,4,1000,200,0.2,1,200,200,0.4025600369351048,20,3.2245977763005196,0.31038941951636073,0.2986291507311114,-2.925968625569408,3.538889990269848,0.32315522065373686,0.3142922139693285,0.34131922099913936,0.43557833600061713,800,1003,1006,50.0,150.0,0.07113691669117471,0.4025600369351048
active_learning_pev,3,5,1000,200,0.2,1,200,200,0.395948706977912,20,3.538889990269848,0.32315522065373686,0.48872793815217036,-3.0501620521176775,4.0395929016694945,0.31847414703471993,0.5007029113996464,0.3366973960000905,0.4158150190014567,1000,1003,1007,50.0,150.0,0.2765922012955779,0.395948706977912
diversity_sampling,3,1,1000,200,0.2,1,200,200,0.4813078558355402,20,-0.13314627914244168,0.9430240904123077,1.0645484564743213,1.1976947356167629,1.0804053287202136,0.7559406973823045,1.2135516078626551,0.9901232800002617,0.1371495210005378,200,1003,1003,,,,
